,date,home_team,away_team,home_score,away_score,tournament
4795,2022-01-23,Iran,China PR,0,7,AFC Asian Cup
4796,2022-01-24,Philippines,Australia,0,4,AFC Asian Cup
4797,2022-01-24,Indonesia,Thailand,0,4,AFC Asian Cup
4798,2022-01-24,Myanmar,South Korea,0,2,AFC Asian Cup
4799,2022-01-24,Vietnam,Japan,0,3,AFC Asian Cup
4800,2022-01-26,Taiwan,Iran,5,0,AFC Asian Cup
4801,2022-01-27,Australia,Thailand,2,1,AFC Asian Cup
4802,2022-01-27,Philippines,Indonesia,6,0,AFC Asian Cup
4803,2022-01-27,Japan,South Korea,1,1,AFC Asian Cup
4804,2022-01-27,Vietnam,Myanmar,2,2,AFC Asian Cup
4805,2022-01-30,Australia,South Korea,0,1,AFC Asian Cup
4806,2022-01-30,Japan,Thailand,7,0,AFC Asian Cup
4807,2022-01-30,China PR,Vietnam,3,1,AFC Asian Cup
4808,2022-01-30,Taiwan,Philippines,1,1,AFC Asian Cup
4809,2022-02-02,Thailand,Vietnam,0,2,AFC Asian Cup
4810,2022-02-03,South Korea,Philippines,2,0,AFC Asian Cup
4811,2022-02-03,China PR,Japan,2,2,AFC Asian Cup
4812,2022-02-04,Taiwan,Thailand,3,0,AFC Asian Cup
4813,2022-02-06,China PR,South Korea,3,2,AFC Asian Cup
4814,2022-02-06,Vietnam,Taiwan,2,1,AFC Asian Cup
4815,2022-02-16,Brazil,Netherlands,1,1,Tournoi de France
4816,2022-02-16,France,Finland,5,0,Tournoi de France
4817,2022-02-16,Denmark,Italy,0,1,Algarve Cup
4818,2022-02-16,Portugal,Norway,2,0,Algarve Cup
4819,2022-02-16,Burundi,Djibouti,6,1,African Cup of Nations qualification
4820,2022-02-16,Zambia,Namibia,0,0,African Cup of Nations qualification
4821,2022-02-16,Senegal,Mali,1,0,African Cup of Nations qualification
4822,2022-02-16,Guinea-Bissau,Burkina Faso,0,6,African Cup of Nations qualification
4823,2022-02-17,United States,Czech Republic,0,0,SheBelieves Cup
4824,2022-02-17,Iceland,New Zealand,1,0,SheBelieves Cup
4825,2022-02-17,Togo,Gabon,2,1,African Cup of Nations qualification
4826,2022-02-18,Zimbabwe,Botswana,1,3,African Cup of Nations qualification
4827,2022-02-18,South Africa,Algeria,2,0,African Cup of Nations qualification
4828,2022-02-18,Tunisia,Equatorial Guinea,5,0,African Cup of Nations qualification
4829,2022-02-18,Cameroon,Gambia,8,0,African Cup of Nations qualification
4830,2022-02-18,Nigeria,Ivory Coast,2,0,African Cup of Nations qualification
4831,2022-02-19,France,Brazil,2,1,Tournoi de France
4832,2022-02-19,Finland,Netherlands,0,3,Tournoi de France
4833,2022-02-20,United States,New Zealand,5,0,SheBelieves Cup
4834,2022-02-20,Czech Republic,Iceland,1,2,SheBelieves Cup
4835,2022-02-20,Italy,Norway,2,1,Algarve Cup
4836,2022-02-20,Portugal,Sweden,0,4,Algarve Cup
4837,2022-02-21,Burundi,Djibouti,5,0,African Cup of Nations qualification
4838,2022-02-22,Brazil,Finland,0,0,Tournoi de France
4839,2022-02-22,France,Netherlands,3,1,Tournoi de France
4840,2022-02-22,Namibia,Zambia,1,1,African Cup of Nations qualification
4841,2022-02-22,Mali,Senegal,1,0,African Cup of Nations qualification
4842,2022-02-23,New Zealand,Czech Republic,0,0,SheBelieves Cup
4843,2022-02-23,United States,Iceland,5,0,SheBelieves Cup
4844,2022-02-23,Sweden,Italy,1,1,Algarve Cup
4845,2022-02-23,Portugal,Norway,0,2,Algarve Cup
4846,2022-02-23,Botswana,Zimbabwe,0,2,African Cup of Nations qualification
4847,2022-02-23,Algeria,South Africa,1,1,African Cup of Nations qualification
4848,2022-02-23,Equatorial Guinea,Tunisia,3,2,African Cup of Nations qualification
4849,2022-02-23,Gabon,Togo,1,2,African Cup of Nations qualification
4850,2022-02-23,Gambia,Cameroon,1,2,African Cup of Nations qualification
4851,2022-02-23,Burkina Faso,Guinea-Bissau,1,0,African Cup of Nations qualification
4852,2022-02-23,Ivory Coast,Nigeria,0,1,African Cup of Nations qualification
4853,2022-07-06,England,Austria,1,0,UEFA Euro
4854,2022-07-07,Norway,Northern Ireland,4,1,UEFA Euro
4855,2022-07-11,Austria,Northern Ireland,2,0,UEFA Euro
4856,2022-07-11,England,Norway,8,0,UEFA Euro
4857,2022-07-15,England,Northern Ireland,5,0,UEFA Euro
4858,2022-07-15,Austria,Norway,1,0,UEFA Euro
4859,2022-07-08,Spain,Finland,4,1,UEFA Euro
4860,2022-07-08,Germany,Denmark,4,0,UEFA Euro
4861,2022-07-12,Denmark,Finland,1,0,UEFA Euro
4862,2022-07-12,Germany,Spain,2,0,UEFA Euro
4863,2022-07-16,Finland,Germany,0,3,UEFA Euro
4864,2022-07-16,Denmark,Spain,0,1,UEFA Euro
4865,2022-07-09,Portugal,Switzerland,2,2,UEFA Euro
4866,2022-07-09,Netherlands,Sweden,1,1,UEFA Euro
4867,2022-07-13,Sweden,Switzerland,2,1,UEFA Euro
4868,2022-07-13,Netherlands,Portugal,3,2,UEFA Euro
4869,2022-07-17,Switzerland,Netherlands,1,4,UEFA Euro
4870,2022-07-17,Sweden,Portugal,5,0,UEFA Euro
4871,2022-07-10,Belgium,Iceland,1,1,UEFA Euro
4872,2022-07-10,France,Italy,5,1,UEFA Euro
4873,2022-07-14,Italy,Iceland,1,1,UEFA Euro
4874,2022-07-14,France,Belgium,2,1,UEFA Euro
4875,2022-07-18,Iceland,France,1,1,UEFA Euro
4876,2022-07-18,Italy,Belgium,0,1,UEFA Euro
4877,2022-07-20,England,Spain,2,1,UEFA Euro
4878,2022-07-21,Germany,Austria,2,0,UEFA Euro
4879,2022-07-22,Sweden,Belgium,1,0,UEFA Euro
4880,2022-07-23,France,Netherlands,1,0,UEFA Euro
4881,2022-07-26,England,Sweden,4,0,UEFA Euro
4882,2022-07-27,Germany,France,2,1,UEFA Euro
4883,2022-07-31,England,Germany,2,1,UEFA Euro
